"Comp-APC-A","Comp-BV421-A","Comp-FITC-A","Comp-PE-Texas Red-A"
44.2967,90.928,45.9103,104.695
12.5455,60.3297,-84.3249,60.2394
26.0406,45.2767,-32.4052,76.0242
41.8692,125.239,59.6575,155.297
99.1406,163.693,346.437,279.649
-9.58075,97.6433,-25.1568,68.1267
65.7905,96.3887,-15.1502,100.945
41.9916,68.4945,13.4815,80.8353
24.6041,62.7536,15.0164,77.4122
34.517,62.6898,80.2412,107.954
69.4032,94.0042,-58.2071,83.7776
35.4147,105.479,111.849,93.4088
12.9681,58.4161,-33.7124,80.2206
20.8678,94.6945,-165.662,42.2322
18.0407,92.5604,70.8885,106.848
22.89,111.802,-7.1608,103.555
47.1007,33.0312,-0.992764,85.2959
20.946,60.3935,96.9411,94.3943
22.1418,84.6451,16.1849,40.6356
16.378,39.3452,-92.3643,54.2754
32.1534,107.796,-2.35479,96.6957
19.5491,82.5703,-20.4333,115.723
6.04722,124.678,32.9869,94.7026
26.6924,71.8702,58.9689,107.059
72.1453,105.04,23.3303,97.0955
29.6986,93.6276,-42.3189,89.5026
25.3096,92.3093,-13.0331,59.8739
67.1391,102.722,6.37277,143.254
36.2974,98.0196,19.7613,104.887
7.37995,57.5231,7.21808,50.0582
43.0224,91.8699,74.4455,112.372
14.7389,61.6054,16.5341,90.3559
7380.21,66.9636,-122.395,61.2831
6.95595,104.1,-38.0101,36.324
26.0829,61.2227,-19.0458,71.3291
129.075,85.8394,47.8306,141.336
65.8633,78.4814,86.3672,140.901
50.9269,114.304,-27.336,122.752
12.1616,55.2268,-33.4045,66.3865
108.79,106.355,12.1188,107.367
0.598279,53.1219,-66.5765,61.2896
23.919,59.7556,87.6587,92.673
35.2635,120.118,-35.7298,122.387
36.0999,88.5413,-85.2178,53.7922
7.78349,80.4947,-18.0899,90.4046
272.179,139.705,-83.7536,65.3259
22.2171,70.7271,11.0124,87.0363
22.6187,100.152,5.99118,127.62
-15.2256,88.29,-80.5231,151.317
-4.92009,73.9488,-31.1138,100.014
-0.989628,85.7765,-24.4341,92.7794
35.2949,76.4044,8.54527,106.727
26.447,100.779,-77.4728,30.8725
15.1201,18.6187,-128.397,96.6789
-10.4648,52.9306,-13.8312,34.6512
19.5135,70.472,12.7158,107.516
49.8531,98.2078,55.3753,138.582
19.3454,51.4636,5.80454,47.0751
56.1268,104.664,46.9189,50.2002
57.1773,95.8868,61.3756,30.8645
11.2468,79.2365,-57.1958,113.273
22.7894,64.8586,56.1237,84.3082
49.4602,101.092,123.034,151.807
14.1838,116.118,-76.0534,72.9313
27.916,121.68,187.271,171.942
25.5907,53.6322,-13.2902,95.5858
10.7205,80.4947,-41.8581,43.96
12.3468,1463.82,75.2048,88.3989
12.2902,95.1338,33.2377,100.776
33.1638,46.361,0.235462,57.4716
51.7136,87.1591,43.1252,84.0376
5.63218,79.551,-24.1071,73.8887
21.3852,97.016,56.0699,118.624
28.6981,35.4547,-65.2174,78.9517
50.4881,76.7191,-1.8091,116.726
46.0347,33.2863,73.486,88.095
19.0451,110.988,62.0139,141.296
36.5532,86.4678,68.3937,100.81
21.2255,88.8554,-61.4643,75.5056
131.207,37.368,-46.1087,70.3861
25.3325,64.2845,-4.16192,87.7634
15.3342,77.8521,-61.7761,78.977
29.3611,79.9285,-47.0019,53.9774
96.7484,84.708,82.1756,121.822
24121.3,663.158,-30.5138,109.382
28.0902,68.8134,11.0106,85.6333
70.1914,135.157,219.375,206.213
20.0271,70.7909,79.5269,93.0404
46.1289,79.1106,-27.0276,71.5339
26.4275,80.1173,-14.1912,57.3807
23.5442,168.528,94.9594,91.7232
8.14487,62.1157,-12.227,56.3351
12.3699,75.8378,-16.6295,49.333
24.2094,42.0877,25.3574,90.834
17.227,46.6799,51.392,57.3071
9.54976,67.3463,13.3699,76.692
14.3804,65.8792,-87.8164,81.5056
43.238,76.1526,-39.6205,76.249
26.2476,70.2806,-56.7111,59.1079
33.1259,97.1415,-0.593138,122.538
19.7259,46.4885,33.4147,59.5678
11.097,37.4956,-41.1333,38.642
63.7379,169.829,95.6524,148.809
1.95428,87.7246,13.2678,80.9792
24.281,99.5247,74.1249,95.051
9.0284,38.7712,-72.6294,43.3505
15.4606,104.664,90.9467,131.863
118.228,90.614,9.75692,105.739
12.9102,31.3731,12.9373,62.308
12.8089,81.1866,-27.0189,67.4867
25.6521,74.8934,16.1199,64.428
39.1539,67.729,48.0049,55.2896
28.779,122.305,109.754,100.389
15.3172,130.169,51.2614,99.1245
6.10144,84.7708,-1.84261,76.509
10508.6,943.957,25.3363,48.1939
1757.47,577.334,106.863,123.454
12.6876,73.8229,-89.4779,74.8749
28.3433,55.163,41.1857,87.9465
28.6848,38.0696,41.2943,86.5144
44.9841,89.7348,-0.631848,119.61
7.7171,107.858,24.3618,103.865
29.4212,506.718,10326.9,120.329
1112.55,25.8885,-3.38054,68.971
6.73777,43.7459,-36.733,54.481
509.428,195.604,162.401,134.149
47.6993,25.5697,96.6926,91.8263
69.9372,101.531,100.731,120.452
28.6147,100.967,31.4004,130.824
