"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
71175.8,53716.9,47.3166,27.9247,260.337,0.339775
72549.7,32995.4,36.0292,30.1695,174.269,0.350751
34917,55074.8,77.5828,23.5012,231.773,0.354236
68773.2,29754.2,34.1653,9.96758,202.585,0.35706
107560,79566.9,52.2874,-2.60938,302.281,0.35768
53733.6,36148.1,15.6834,13.9285,194.446,0.359192
47283.3,34087.9,65.3938,1.18814,177.923,0.359917
69531.8,60109.7,65.547,25.2837,203.155,0.36256
91050.9,71743.3,61.0514,77.3411,270.372,0.365414
61787.1,32160.6,63.6573,11.816,148.207,0.369123
99138.2,76068.7,107.995,55.4591,296.095,0.369445
97290,53039.8,52.7017,29.2451,299.751,0.380658
84456,72888.9,59.6712,16.4371,273.267,0.389001
71302.2,74774.6,59.4667,50.6386,362.562,0.391464
40859.7,28406,46.8505,42.7147,149.718,0.392824
81195.5,45556.8,69.0181,33.6688,254.536,0.393806
102239,64570.1,72.9455,25.8119,275.031,0.394697
72533.8,46760.9,46.7988,32.3483,208.575,0.396253
73024.2,85750.5,142.686,32.0182,340.461,0.396698
69871.5,50079.1,49.0253,2.24427,257.225,0.39677
95631.3,54929.7,13.147,28.1227,189.086,0.405611
32234.2,22481.9,38.359,3.82849,122.405,0.409241
111845,50284.8,57.6769,51.0348,304.108,0.428028
102592,62598.3,90.4012,51.9592,342.556,0.43086
99806.7,56809.5,82.521,7.32707,306.706,0.436532
91052.6,50588.6,82.0121,46.6766,246.532,0.439021
92331.5,36458.8,49.1806,14.3246,180.429,0.445852
97017.9,59708.6,57.7763,66.6854,311.339,0.449384
65654.6,45787.8,27.0724,24.9536,192.802,0.450202
71844.1,49563.5,23.7591,37.9606,219.117,0.450749
73582.9,40320.6,51.0965,15.6449,156.834,0.457318
77286.5,48987.1,45.5561,16.9652,218.049,0.45989
64335.8,50552.9,48.8699,39.6773,175.559,0.460917
89305.8,73541.5,56.2746,30.3015,350.022,0.463827
100416,76284.3,41.155,33.2727,396.158,0.466303
90715.4,40533.9,73.4553,8.31725,266.275,0.470141
124121,73383.5,40.9996,15.909,277.43,0.478399
61500.5,38482.8,45.6079,25.1517,143.818,0.484022
67215.1,30023.4,35.149,-5.03237,126.303,0.484686
82093.7,53088.7,48.5075,58.6288,238.802,0.487626
56359.8,35239.7,75.0863,13.2023,133.589,0.50368
74230.9,39804.6,26.6065,23.6992,170.542,0.507472
88224.7,49586.8,25.9335,22.1807,173.409,0.508134
47169.5,24718.1,27.5384,0.0660073,166.813,0.509605
52648.2,24835.1,26.6583,15.2488,136.183,0.513074
120315,60933.1,76.4112,45.1579,335.57,0.514438
41495.9,23350.5,14.8552,45.2899,125.365,0.516403
57161.3,33522.1,63.3508,16.7672,148.639,0.517089
102627,52029.5,68.5588,17.2953,298.556,0.517142
52137.5,48826.2,129.506,18.3516,171.259,0.519267
80159.6,40389.5,70.4466,6.07285,249.224,0.522018
86585.1,58312.7,17.4952,-0.434896,220.612,0.523272
72123.9,57671,45.4525,44.9598,253.757,0.525378
78835.1,42882.7,33.1298,1.18814,159.707,0.525656
49047.5,33412.7,74.8315,23.7652,207.292,0.526091
93304.6,61121.5,76.8697,72.8271,335.29,0.527681
63040.4,37722.5,74.067,30.6316,243.271,0.531978
121718,63022.2,77.2262,44.6956,326.196,0.534847
50617.6,33099.6,38.2555,16.8992,157.337,0.536393
48570.1,29093.9,36.9611,-0.93192,182.218,0.538273
78465.6,70501.5,91.7725,38.951,283.352,0.538662
86363.5,50289.8,-21.1906,53.9403,293.562,0.542164
135736,63226.7,29.661,96.3472,364.372,0.542346
96632,61964.7,95.2753,42.3846,323.046,0.549618
117409,76902.5,72.1297,19.3419,346.185,0.552434
87608.4,55904.8,40.8443,21.0584,270.019,0.553433
34034,22775.5,63.5041,3.82849,146.193,0.55554
100851,74820,63.453,54.1384,449.919,0.557117
65337.3,47973.7,61.7669,75.3199,369.31,0.561207
68979.6,42505.3,92.2803,52.9497,259.559,0.566722
71705.3,44451.4,19.4106,0.660075,183.149,0.569526
95743.2,72897.3,126.885,57.176,352.393,0.57343
78422.2,56205.7,45.8668,41.196,218.69,0.581178
93689,42199.5,43.4332,23.8313,232.413,0.583649
83572.8,39696.4,45.6596,26.8023,210.927,0.583668
107284,59738.4,71.3647,24.8216,275.243,0.587129
46880.5,34912.2,59.2621,12.4101,188.657,0.591476
62784.5,28662.5,33.2333,2.11225,154.175,0.594436
49561,43496.9,57.1549,10.6277,138.849,0.600962
111759,60522.7,49.1288,23.6992,237.667,0.601677
34836.7,27322.1,85.5729,0.52806,198.302,0.602999
29529.2,50194.6,46.8505,6.46892,196.803,0.606354
21470,33386,158.684,-3.1064,317.37,0.607282
32703.9,25620.8,30.2305,4.42258,98.6054,0.610621
79882.6,50958.6,63.5552,19.672,219.259,0.611477
77240,51819.7,49.1806,28.915,208.932,0.614133
60482.7,52421.6,73.5063,26.5382,260.337,0.618414
117238,77856.3,65.547,47.0728,372.438,0.619446
96553.2,69916,47.0059,81.4467,248.516,0.61995
75785.1,72063,75.545,33.8669,267.618,0.621752
60670.6,28187.3,40.4819,20.1341,170.112,0.624465
37255.5,26243.4,12.9917,6.27088,145.257,0.627957
110619,59227.9,37.1164,25.1517,192.231,0.62799
103980,53689.2,86.8948,39.2812,229.855,0.638211
61168.8,42346.4,74.2709,45.6861,189.157,0.649393
58237.9,32776.1,128.952,69.2609,205.438,0.652326
71109.5,44147,24.7945,34.3291,204.225,0.660702
116105,64422.3,31.7319,10.5617,297.009,0.664325
48240.7,23640.3,17.1847,28.0567,91.6451,0.666243
80868.6,40777.9,42.553,23.3691,210.215,0.6711
38671.1,28231.1,49.9055,15.5129,4639.96,0.671797
34865.8,27310.7,26.3476,33.5368,133.516,0.673021
90831.4,44748.1,71.9257,38.2907,226.444,0.675268
81420.8,60563.7,68.2016,30.1034,263.166,0.675349
69716.2,32978.8,74.5767,10.2976,154.607,0.677002
43315.1,29258.6,24.9498,8.0532,123.777,0.686112
69932.1,62623.1,63.0954,39.4132,255.739,0.686752
124057,78244.4,104.046,50.0442,370.978,0.688243
75023.5,33724.8,38.4108,31.2919,234.401,0.690706
117079,54874.8,57.2067,9.37346,314.145,0.698832
113809,81068.2,39.4981,43.9033,396.989,0.709661
102517,50338.5,62.0224,53.0158,249.295,0.712007
63045.5,51728.9,71.8747,38.5549,273.479,0.713799
70122.9,41091.7,49.2842,34.131,204.511,0.715066
112451,51119.4,40.7408,14.1925,230.353,0.715733
100240,54380.2,220.295,25.6799,231.205,0.74223
43749.2,19654.1,9.47184,-4.03832,108.454,0.744174
