"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
77089,48066.1,20.2389,20.0681,198.659,0.48704
42300.3,34668.7,50.8894,34.065,143.818,0.487574
57270.2,35767.2,65.5981,46.2144,136.832,0.489797
55653.5,28945.8,30.7482,47.7331,137.192,0.490662
72923.8,65295.5,74.3219,43.5731,351.207,0.493982
71399.9,48964.1,30.5929,13.0703,215.7,0.496865
102678,57587.6,42.1905,16.4371,266.064,0.499803
120949,66280.9,25.4158,36.8381,243.2,0.501142
52673.1,44160.9,16.667,34.3291,196.088,0.501197
78342.6,40429.4,26.037,5.94083,251.916,0.50371
61895.2,35057.9,28.6773,51.6291,180.93,0.504221
81859.6,63876.7,37.8931,18.3516,240.292,0.504619
67159.3,42955.4,53.8409,11.6179,188.514,0.508316
58701.5,29383.3,26.4512,-12.1771,149.934,0.517431
86606.2,50854,46.3328,25.3498,247.595,0.518224
54758.6,35287.2,30.127,30.6977,189.3,0.519239
45848.2,38969.8,23.2932,2.31028,131.57,0.522945
59831.8,35106.5,22.672,19.3419,165.593,0.529304
42030.9,21110.5,22.4132,29.6413,102.445,0.532875
68021.6,42659.2,27.2277,19.9361,220.683,0.536576
113424,61392,45.4525,49.0538,332.214,0.536929
56701.9,60266.2,22.672,27.4625,326.336,0.538402
57861,32937.8,63.9638,2.64032,137.625,0.540468
57996.1,39653,25.6229,10.7597,153.6,0.541216
71388.6,41317.4,36.288,22.5108,254.96,0.541542
99739.3,63373.3,65.5981,45.8842,318.422,0.543705
32483.2,33049,44.7794,8.5813,169.825,0.545465
28215.6,11108.7,6.15916,24.6895,41.9802,0.550314
44418.5,24620,52.4428,28.0567,124.932,0.555549
55192.3,38428,30.6447,13.7304,146.409,0.556866
49330.7,28271.8,31.6284,19.738,157.553,0.557006
69599.5,31601.8,41.7763,7.78915,165.019,0.558486
135740,71636.6,64.6278,27.8586,418.685,0.559779
50887.1,29355.8,22.1025,37.5644,181.431,0.56324
62225.7,34006.2,13.8199,-4.59747,132.435,0.564772
42120.7,33839.7,7.81549,0.396044,172.908,0.567396
32555.5,23031.7,30.0752,33.4707,104.473,0.570992
30447,26317.1,14.9587,4.29056,128.612,0.575402
47676.1,29708.2,40.7925,26.142,127.891,0.589141
70914.8,34778.6,66.2108,16.9652,183.578,0.601144
