"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
132528,70546,78.0921,18.0875,270.514,0.282756
38415.5,19563.7,-1.21785,-2.73363,84.2421,0.289157
66985.6,36860.9,25.7264,1.38616,157.265,0.293593
42494.4,38099.6,30.9036,48.5915,182.218,0.293992
73079.6,35300.4,17.7541,-1.36682,193.66,0.295892
49460.4,36793.2,29.9716,-5.90216,169.467,0.296395
83464.8,38400,29.4539,6.53493,188.299,0.298168
41229.8,45346,60.7958,23.3031,213.492,0.298759
49380.5,49234.7,40.9479,12.6742,185.581,0.299178
86425.1,49934.5,55.1872,49.9782,254.465,0.301244
110552,48496.9,25.7782,-9.69197,263.943,0.303468
39258,55007.4,53.7373,22.1147,345.766,0.304008
90719,57701.4,56.4299,21.0584,298.978,0.307321
52157.4,27751,1.70796,15.6449,156.331,0.307976
120024,62118.1,12.3705,40.5357,380.424,0.308093
55849.7,45339.7,71.4667,30.0374,278.065,0.315385
52017.7,29457.9,21.7919,-0.683408,125.437,0.317319
24239.5,18554.4,8.33309,7.39308,90.9197,0.323188
83415.5,38101.2,54.1515,15.8429,186.797,0.332789
37062.5,25955.8,12.8364,10.6277,126.664,0.335543
46227.5,78965.7,21.2742,41.13,322.765,0.338645
59748.6,39176.8,59.7734,28.981,187.655,0.343486
74937.6,38349.1,44.417,14.6546,189.658,0.350098
61402.3,32898.8,39.7052,13.7964,183.578,0.351157
94931,65959.3,21.7919,6.00684,248.658,0.351349
73846.3,27704.1,29.6092,10.4297,113.083,0.351445
74403.9,41947.8,34.7348,2.90436,171.402,0.355023
80274.9,37540.2,44.883,-2.17448,181.503,0.355508
85206.5,68520,76.1564,37.3663,334.451,0.357298
47607.3,32869.5,29.5057,3.03638,148.639,0.357463
92973.8,34015.6,30.6447,6.53493,197.088,0.358424
85331.6,43947.3,70.7526,53.7422,269.101,0.359432
57566.8,42493.9,49.5949,2.57432,167.889,0.36437
58726.7,37549.5,44.1581,11.4199,203.94,0.369734
26500.8,24719.3,49.8538,9.63751,126.303,0.369946
35130.5,25151.8,16.5635,23.105,104.762,0.371307
74604.5,43187.7,68.7119,13.4003,202.799,0.375249
16932.8,30317.6,108.501,6.4029,207.791,0.376501
38438.6,16206.2,31.1624,7.92118,108.309,0.377802
53496.1,36330,10.6106,0,152.882,0.378784
39190.4,32574,10.9212,-0.372768,150.078,0.381467
72639.4,52488.3,53.5819,43.7712,228.292,0.384641
32303.2,33276.3,170.833,18.8798,250.783,0.387706
95869.3,53135.6,38.5662,6.60094,209.93,0.387764
71034.9,53824,79.2125,16.239,323.536,0.388733
126664,63910.9,75.9526,26.8023,364.511,0.391225
84108.9,47849.9,53.5819,47.1388,215.201,0.39138
70662,49428.1,45.8668,19.606,202.87,0.392946
94964.6,61076.7,41.155,46.3464,326.616,0.394547
87032.5,63359.1,18.9447,27.0003,308.532,0.398241
105796,47056.6,47.7826,38.2247,287.509,0.400856
54999.3,41411.2,28.4185,27.5285,236.957,0.408611
90217.5,49437.6,39.0839,21.7186,218.263,0.414571
102306,63671.2,49.8538,59.025,323.466,0.420324
93123.6,37944.6,12.3705,21.3885,192.802,0.424565
60430.8,29384.4,5.79685,25.0197,167.387,0.43159
66974.2,44146.8,41.9834,47.2709,241.214,0.432965
31835.8,40420.2,52.391,47.8652,195.231,0.439685
58909.3,38120.7,26.3994,16.173,211.64,0.442877
65663.5,49472.7,73.3533,39.0831,249.366,0.446535
108712,61806.5,25.0016,-4.16258,320.244,0.448943
43824.8,25144.3,17.2364,0.726083,86.9284,0.452699
76194.9,44263.6,16.0976,17.0312,186.654,0.454453
54651.6,37329.7,43.8474,33.6028,166.813,0.457448
90387.3,54814,42.3976,17.2953,289.762,0.459833
46743.5,25457.6,13.354,44.2994,135.174,0.462034
102400,48553,77.1753,80.2088,398.304,0.464607
79284.5,58297.3,67.9974,27.9247,298.064,0.465743
