"FSC-A","SSC-A","APC-A","BV421-A","FITC-A","Time"
101980,45802.3,48.4557,15.6449,198.302,0.364112
42234.1,32945,29.1433,23.7652,148.927,0.364577
64625.8,37715.4,15.8905,-3.60342,153.96,0.368064
72949.9,32852.8,54.048,28.3868,186.011,0.369898
46387.6,20838.6,50.8376,12.6742,105.559,0.370047
41870.7,30261.6,13.6129,24.1614,126.52,0.371901
57646.5,40499.5,41.5174,27.0663,190.801,0.372576
103822,60460.8,73.6082,37.3663,320.033,0.382512
82643.9,43093.9,38.2037,-5.59152,179.498,0.3894
83530.6,48737.4,39.9123,31.622,302.422,0.391919
76535.7,39985.3,53.2713,2.31028,184.866,0.391984
67117.1,33574.7,12.1117,7.92118,197.517,0.392071
63278.6,38261.3,20.1871,18.8798,189.729,0.395034
112858,60796.6,58.802,25.4158,281.449,0.397954
47292.3,24995.4,12.5258,10.0996,115.83,0.400409
112822,43157.8,10.2483,-5.84003,244.263,0.404052
36829.5,51855,11.6459,47.2709,240.434,0.406553
76652.7,48767.9,33.3369,31.556,215.273,0.409349
71278.9,33659.7,51.1483,10.4957,176.275,0.413359
105881,77012.2,16.5635,58.959,334.591,0.415469
94433.9,56391.6,57.362,43.9693,258.64,0.421819
59763.8,33290.9,55.3425,10.4297,116.842,0.424543
102693,50488.5,29.3504,17.4934,245.327,0.42811
79318.2,41993,22.3096,18.0875,186.654,0.428969
45754.6,34405.7,27.4866,19.0778,141.73,0.431925
54756.2,47327,25.9335,3.10239,225.377,0.432653
75498.7,31408.7,15.8905,27.0663,167.459,0.433352
123091,79022.1,39.4981,13.9945,356.853,0.434562
61402.8,31664.5,11.387,7.59112,166.741,0.436927
57325,27447.3,17.547,-0.372768,153.888,0.436979
91021.5,37397.4,15.7352,19.2099,185.653,0.440064
62626.9,73933.8,96.3916,41.196,332.284,0.441091
102635,35451.7,34.9419,21.5866,181.288,0.44166
113650,82373.2,78.9579,35.3195,401.14,0.445942
109464,58463.7,73.4043,47.0067,372.09,0.448677
68410.2,35363.5,29.3504,33.9329,150.437,0.458878
113311,65460,38.1002,36.1118,327.316,0.459897
91947,40658,32.6638,4.09253,192.731,0.462675
57630.8,34049.9,12.8364,29.7733,173.481,0.464678
71959.2,36389.1,29.6092,55.5911,238.234,0.473645
86029,39971.9,52.9088,37.8946,237.95,0.476793
124500,58383.7,123.154,30.4996,279.898,0.478435
41054.8,26460.1,19.4106,9.43947,109.467,0.480371
20830.1,36258.4,191.756,19.9361,287.086,0.481131
94813.7,74623.5,732.659,46.0823,290.114,0.482201
35048.9,67574.5,38.4626,14.9187,286.523,0.483774
58010.2,32012.8,7.60844,1.12213,165.522,0.490652
36091,25813.4,36.0809,15.1168,165.88,0.493205
64067.2,50095,32.8192,26.4061,257.154,0.505794
50065.7,25784.4,26.9171,19.0118,107.73,0.510911
104695,45853.5,31.0071,-0.124256,292.014,0.512571
47396.4,33596.8,52.1839,66.9496,188.728,0.51555
77939.2,37976.2,31.4731,39.3472,223.955,0.519248
61882.6,37246.3,22.9826,20.9924,137.12,0.521362
100753,63416.3,67.8443,54.0723,286.523,0.527335
50784,56888.2,44.9347,12.5421,265.216,0.563969
69018.3,65528.8,32.1461,-6.89621,270.514,0.567271
60567.9,26755.8,30.5411,25.6139,153.529,0.569403
60669.2,28333.5,29.4539,25.2177,149.43,0.571036
37154.7,47570.3,57.8798,22.3128,224.026,0.572429
80222.1,54862.5,23.4485,25.8119,224.382,0.573857
108591,50234.6,16.667,23.5672,309.514,0.57534
70009.6,44747.1,9.98946,-7.14472,184.365,0.578526
71657.8,26433.2,29.2986,2.31028,112.505,0.578682
99564.6,55855.6,50.6822,22.1807,341.508,0.581143
37227.1,30632.8,19.0482,3.10239,110.552,0.58291
121568,82938.4,58.2906,10.6277,331.724,0.583805
50656.9,26400.1,45.1418,5.21471,139.498,0.584043
87136.7,43170.9,37.3753,62.0627,369.518,0.584611
52507.2,26198.9,6.31444,1.12213,86.1299,0.587954
100347,50273.2,31.3695,3.43244,194.231,0.588956
59666,44267.5,20.0318,10.9578,202.156,0.592444
111011,74786.6,43.2778,12.2781,338.644,0.593228
84287.1,46379.5,11.4906,13.9285,181.646,0.598471
51427.7,26079.8,26.2959,-2.36086,110.841,0.599681
40432.6,28678.2,31.4213,18.3516,124.643,0.600721
84114.2,42141.1,24.9498,45.554,226.444,0.60202
65027.2,34634.6,75.545,33.999,186.869,0.606563
53166.3,40889.7,47.0577,49.3179,146.193,0.615735
71951.9,39122.8,52.3392,51.6951,248.303,0.617824
70921.9,43121.2,29.5057,27.5285,270.09,0.620565
39051.2,30545.5,6.05564,4.81864,92.1529,0.622605
76593.1,44923.3,19.2553,47.2048,289.128,0.624292
91039.9,61366.7,59.3644,17.6914,289.199,0.626667
46623.9,34020.3,24.3804,47.6671,109.901,0.628414
110458,43550.4,75.1373,20.5963,201.728,0.637648
63428.3,63344.3,24.9498,35.3195,274.114,0.646957
132857,60543.8,53.2195,32.6124,329.416,0.649102
46233.6,69619.9,39.9641,32.4804,277.853,0.650151
55081.8,30387,22.672,38.6869,156.116,0.656338
44117.2,30911.1,48.0932,16.5031,127.169,0.659638
67745.5,34498.9,8.07429,26.8023,190.873,0.661081
40431.5,27674.8,24.8463,-0.683408,147.776,0.669105
45346.7,29205,17.5988,33.5368,115.758,0.670652
74669.5,33257.6,25.1569,3.36643,151.588,0.677178
39500.3,36553.6,55.1872,3.1684,204.439,0.684293
49290.8,41307.7,57.1031,17.0312,189.586,0.693996
59942.5,32795.5,23.0861,0.924106,197.231,0.702107
40758.7,41031.8,29.5057,35.9137,183.292,0.707279
73477.2,33751.1,34.683,39.5453,144.754,0.709823
79748,65414.1,34.4241,20.6623,299.048,0.717702
54047.8,41167.9,18.3235,25.944,152.019,0.721923
97179.8,52392,64.2192,9.17542,308.391,0.726688
97847.8,43955.2,11.2835,26.2741,205.581,0.726915
76553.6,47385.7,36.0809,1.32015,236.247,0.735793
121558,62562.8,37.1682,41.196,406.948,0.735995
72740.8,49386,21.2225,2.97037,235.963,0.739016
96251.1,54098.7,30.3858,46.1483,247.949,0.742294
79458.7,61963.7,18.3235,17.4274,224.239,0.745523
74409.7,55565.2,43.5885,1.32015,309.444,0.745681
71426.2,41643.6,54.98,21.6526,216.626,0.75551
92582,55549.4,44.3134,35.3195,281.449,0.760119
49612.2,28335.3,38.7733,14.6546,156.403,0.761924
49566,20880.9,24.4321,22.1807,168.319,0.763132
76518.7,55506.9,33.8546,-3.91406,250.216,0.764012
80512.9,42714.5,32.2496,39.8094,292.226,0.76588
45899.2,32695.5,17.7541,23.6332,171.546,0.766239
70761.6,34308.8,15.6317,6.99701,200.158,0.773995
71979.4,38263.3,72.2316,30.6977,227.794,0.777515
62976.8,33370.7,24.2251,-1.67746,170.184,0.778654
69676.2,39259.8,50.9411,-1.80171,194.231,0.783953
36055.9,16439.3,16.3046,3.10239,118.721,0.78717
76510.3,43452.7,47.2648,21.1244,247.17,0.792623
41867.4,56612.1,27.176,37.6965,254.252,0.799704
58281.4,36001.8,22.8273,19.738,213.92,0.805152
85512.2,40936.5,44.4687,17.7574,206.65,0.809149
45391.2,25983.4,30.2305,35.0554,130.344,0.812466
108049,71332.8,45.0901,40.5357,338.994,0.815516
64381.2,50008,26.4512,15.1168,184.794,0.817287
82981.2,44416.7,55.5496,43.243,278.629,0.81836
74629.9,50919.4,42.8636,14.4566,222.532,0.830081
54349.4,31850.9,32.2496,24.0293,167.387,0.830314
83053.3,49048.1,38.7733,20.4642,220.398,0.830476
65752.8,35132.1,22.8273,0.132015,162.866,0.835115
36798.6,31482,16.9776,9.70352,142.81,0.835235
65033.4,64345.6,62.1757,11.2218,387.221,0.837769
88157.8,47985.3,21.4813,16.8332,258.569,0.83987
70188.6,45084.5,68.967,20.4642,222.39,0.842232
72291.6,36461.4,-0.633282,22.1807,210.357,0.843285
80217.9,43637.6,48.2486,38.7529,207.007,0.844812
49411.7,30472,32.4567,-11.8043,217.765,0.848877
135836,86063.5,67.9464,26.4721,463.423,0.85127
46771.1,36948.9,28.7291,17.7574,174.628,0.85318
73856,34397.9,36.4951,32.7445,206.365,0.855422
61081.1,43114.8,17.9094,11.948,176.562,0.85623
43265.3,43205.8,49.5431,7.65713,255.951,0.861728
99751.8,58416.4,40.1712,34.9894,276.301,0.864017
111704,42240.9,46.7988,26.4721,225.235,0.867792
118762,48008.3,20.1354,12.2121,265.004,0.8692
54095.9,37895.8,55.4461,20.7283,171.761,0.871442
88367.1,65888.2,73.5063,40.9319,279.757,0.884728
91542.5,62800.6,54.2033,54.1384,275.596,0.888786
64160.3,35192.2,46.0221,46.8747,164.804,0.896355
71416.2,36374.1,47.8861,14.3246,203.227,0.899631
