"FSC-A","SSC-A","APC-A","FITC-A","Time"
55668.9,57509.3,22.95,728.19,1.06506
74391.1,73752.7,21.25,889.08,1.06608
53106.2,51845.6,8.5,596.13,1.07318
79590.1,66140.7,17,847.23,1.07419
74015.1,51069.1,27.2,845.37,1.07622
59709,59317.3,16.15,831.42,1.08028
51758.4,56741.2,67.15,744.93,1.08028
70971.2,70906,74.8,827.7,1.08129
42257.1,46378.2,-16.15,421.29,1.08637
42113.3,46308.4,20.4,617.52,1.09144
47129.8,34435.1,28.05,358.98,1.09347
45490.6,51476.4,5.95,604.5,1.09448
41937.9,33921.8,35.7,393.39,1.0955
57647.1,70256.9,24.65,807.24,1.09651
54860.8,74287.5,17.85,781.2,1.09854
47053.2,46168,8.5,554.28,1.10158
53541.5,49740.1,22.95,614.73,1.1026
53396.1,46124.3,36.55,516.15,1.1026
47439.5,52010.2,38.25,639.84,1.10361
62381.6,63606.4,-18.7,829.56,1.10564
79171.4,60436.1,27.2,790.5,1.10564
67011.8,54105.5,12.75,732.84,1.10665
63736.4,79642.4,44.2,1070.43,1.10767
55516.5,51845.6,6.8,927.21,1.1097
66526.7,82041.8,35.7,1088.1,1.11172
66954.9,45262.2,32.3,480.81,1.11375
55755,51158.4,11.05,546.84,1.11477
35670.9,35930.6,26.35,332.01,1.11984
46293.2,74162.9,69.7,935.58,1.12085
37844.9,31650.7,0,473.37,1.12085
51873,75543,44.2,1046.25,1.12288
41338.3,70358.2,50.15,855.6,1.12491
105107,66950.7,15.3,1058.34,1.13404
40119.4,54007,14.45,661.23,1.13505
51634.4,76817.1,13.6,872.34,1.13708
51677.1,46872.9,-0.85,526.38,1.13911
56210.9,61371.6,39.95,644.49,1.13911
59144.1,49330,28.05,719.82,1.13911
62565.6,81223.4,41.65,802.59,1.14013
81391.3,65394.8,5.95,911.4,1.14621
53776.9,52854.7,11.05,596.13,1.14824
85415.6,72901.8,53.55,819.33,1.15838
27973.1,42564.2,37.4,584.97,1.15838
50087.6,34367.2,-9.35,643.56,1.16041
77017.9,57238.7,-18.7,769.11,1.16447
53351.9,50897,-8.5,719.82,1.16954
62877.7,46563.2,9.35,410.13,1.16954
65597.6,69343.6,46.75,877.92,1.16954
87335.3,60156.1,3.4,783.06,1.17259
68265.5,62022.6,46.75,979.29,1.17563
43890.8,37853.8,16.15,502.2,1.18577
71417.6,54369.7,17,728.19,1.18679
