"FSC-A","SSC-A","APC-A","FITC-A","Time"
67429.7,40429.9,19.55,568.23,0.88759
48544.7,35978,11.9,478.95,0.890657
82486.3,64532.7,79.9,826.77,0.892703
44977.9,75770.8,65.45,945.81,0.892703
60663.3,50366,8.5,709.59,0.89577
77731.3,52318.1,5.1,710.52,0.898838
83565.4,82323.6,35.7,964.41,0.902928
44875.2,57135.5,34,717.03,0.905996
53974.4,41739.3,22.1,623.1,0.905996
42848,74732.9,97.75,890.94,0.908041
73203.8,46386.5,38.25,594.27,0.910086
50526,66191.8,20764.7,649.14,0.914176
84508.7,62805.7,162.35,782.13,0.918267
59235.8,38722.4,14.45,447.33,0.919289
43675.2,49743.8,63.75,527.31,0.920312
34528.5,38825.6,4.25,611.94,0.92747
81446.6,43441.2,15.3,656.58,0.930538
73925.8,54817.9,69.7,558.93,0.932583
60336.2,59370.3,54.4,665.88,0.946899
31450.7,52565.5,10.2,524.52,0.952011
84588.5,59744.1,45.9,690.06,0.960192
47600.7,48158.2,44.2,495.69,0.962237
65612.7,49184,71.4,642.63,0.966327
54838.6,40554.5,51,456.63,0.96735
62027.6,58873.7,21873.9,713.31,0.969395
81704.2,58541.6,0.85,721.68,0.969395
71748.6,54779.8,-29.75,717.03,0.974508
81775.3,58770.4,61.2,838.86,0.975531
106310,72329.8,150.45,765.39,0.977576
49693.4,48822.2,18.7,553.35,0.978598
70830.6,70832.5,81.6,891.87,0.984734
84560,59358.2,88.4,677.97,0.984734
57486.7,54807.7,37.4,652.86,0.987801
52164.5,51568.5,532.95,785.85,0.988824
90915.6,57803.2,28.9,857.46,0.992914
60855.3,45282.6,56.1,648.21,0.994959
68428.2,44553.5,22.95,533.82,0.995982
77548.8,44484.7,80.75,572.88,0.995982
73727.5,44822.3,70.55,552.42,0.997005
49892.5,32343.5,17.85,400.83,1.00416
76965,64853.6,23.8,670.53,1.00621
37878.9,38201.6,47.6,372,1.00621
65578.7,66631.7,-17,928.14,1.00928
61691.9,58896.9,16.15,733.77,1.00928
56836.6,61516.7,27.2,753.3,1.01132
38456.4,34210.1,6272.15,347.82,1.01337
42202.6,56507.7,30.6,989.52,1.01439
56528.5,55995.3,3.4,753.3,1.01541
38224.2,48427.9,-12.75,613.8,1.01746
78249.5,74639,62.9,974.64,1.0195
55096.2,67876,11.9,618.45,1.02257
71789.7,59843.6,42.5,696.57,1.02461
65581.1,69680.2,39.1,967.2,1.02666
80766.4,54909.1,40.8,738.42,1.02768
74599.7,63822.2,132.6,850.95,1.0287
50453.4,50588.3,2098.65,611.01,1.03075
79515.1,67983.9,30.6,1075.08,1.03075
36409.5,31191.3,-7.65,461.28,1.03177
57641.6,37718.9,14.45,441.75,1.03177
62344.4,59240.1,8.5,703.08,1.03177
48437.3,45931.8,35.7,1042.53,1.03382
39700.7,34218.4,34.85,456.63,1.03586
65687.7,81464.3,23.8,841.65,1.03688
61036.2,42330.8,6.8,527.31,1.03688
76884.4,69391,95.2,937.44,1.03995
55778.7,56510.5,26.35,773.76,1.042
44573.4,37333.9,18.7,528.24,1.04302
55436.7,69986.2,37.4,845.37,1.04507
72598.6,48161,1.7,803.52,1.05529
82887.6,80379.9,71.4,991.38,1.05631
69369.1,70633.5,49569.5,965.34,1.05734
109699,72498.1,38.25,1126.23,1.05836
65705.9,51074.7,69.7,590.55,1.0604
89864.1,64690.8,38.25,1016.49,1.06245
35327.2,34725.3,41.65,368.28,1.06756
80310.6,81748.9,43.35,878.85,1.06858
44376.7,45490.9,9.35,373.86,1.06858
63452.8,51975.8,28.9,451.05,1.07063
65010.7,50368.8,-10.2,607.29,1.07267
78541.8,50640.4,56.1,695.64,1.07574
87609.4,79856.3,56.95,940.23,1.07779
75388.9,77357.4,115.6,864.9,1.08597
55557.5,63879.8,34.85,709.59,1.09722
42878.8,45932.7,42.5,431.52,1.09824
74964.7,66835.4,24667.9,1575.42,1.10233
36316.3,48656.7,-6.8,616.59,1.10437
72228.9,57186.6,68.85,651,1.10642
48352,39635.7,9.35,378.51,1.10744
94332.3,70782.3,54.4,1310.37,1.11051
59621.3,53104.9,39.95,645.42,1.11153
73126.4,52726.4,39.1,623.1,1.11358
73374.4,67102.3,66.3,805.38,1.11664
50756.7,41472.4,10.2,558.93,1.12176
48080.2,62526.7,28.05,837,1.12687
59946,39525.9,102.85,571.95,1.12789
65370.1,55212.2,16.15,721.68,1.14016
88693.3,65986.3,21.25,838.86,1.14221
47941.9,62170.5,129.2,827.7,1.14425
59871.7,35566.9,11.05,594.27,1.14732
43635.7,49998.7,50.15,541.26,1.15653
37989.5,59435.4,15142.8,839.79,1.15857
43140.3,62397.4,558.45,683.55,1.16164
84063.9,57625.6,51,785.85,1.1688
85579.9,88050.5,31013.1,3251.28,1.17084
86456.8,62692.2,2.55,912.33,1.17084
67146.1,45556.1,17,452.91,1.17391
55661,45500.2,16.15,797.01,1.17595
79352.3,67566.4,52.7,802.59,1.18004
74929.9,40835.4,11.9,721.68,1.18311
53676.6,64250,27.2,791.43,1.18822
60643.6,59235.4,29.75,1040.67,1.19232
52025.5,58158.5,34,616.59,1.19334
38703.7,34807.1,14.45,379.44,1.19641
80180.3,48443.7,55.25,627.75,1.19641
69610.9,73231,33.15,840.72,1.19947
52330.4,37358.1,-3.4,446.4,1.2005
77087.4,59533.9,124.95,747.72,1.20152
47738.9,44694.9,72.25,459.42,1.20356
58716,49719.7,-1.7,576.6,1.20356
52493.1,38809.8,646,1320.6,1.20663
45916.4,56810.9,25.5,704.01,1.21788
41524,54830.9,17.85,593.34,1.21788
64712.1,87119.6,4836.5,876.06,1.22095
52243.5,74737.6,121.55,852.81,1.22197
56782.8,62882.9,44.2,714.24,1.22299
42245.2,29978.6,-16.15,266.91,1.22504
34448.7,48951.5,0,702.15,1.22504
90178.5,81876.3,42.5,1137.39,1.22606
72119.1,64488.1,-8.5,1640.52,1.22811
51711,51511.8,25.5,582.18,1.23117
82919.2,75164.5,64.6,952.32,1.23117
66608.1,56718.8,54.4,501.27,1.23322
60680.7,75161.7,563.55,1062.99,1.23424
64348.7,65477.6,17,780.27,1.23526
55831.7,43809.5,40.8,461.28,1.23833
69820.2,60368.2,51,642.63,1.23935
56644.6,75083.5,87.55,810.03,1.24242
42944.4,61225.6,36971.6,789.57,1.24242
49500.6,46710.2,-4.25,536.61,1.24447
35731.7,42595.9,17,667.74,1.24651
61840.4,64610.8,312.8,788.64,1.24856
79387.9,64011,36.55,650.07,1.2598
85944.1,64213.7,16.15,664.02,1.26083
115285,68264.8,62.9,837.93,1.26492
75540.6,42128.1,35.7,575.67,1.26594
50618.5,56511.4,186.15,540.33,1.27003
97329.6,67545.9,857.65,1090.89,1.27003
51086.9,40581.5,24.65,450.12,1.27208
42047,67040,19.55,778.41,1.27208
45778.1,39580.8,132.6,671.46,1.27719
60614.3,47799.2,41.65,803.52,1.28128
55766.9,41345.9,115.6,596.13,1.28332
75194.6,52161.8,56.95,730.98,1.28639
46385.6,52498.5,8.5,796.08,1.29048
72063.8,63410.2,4926.6,911.4,1.29253
33138.1,40880,65.45,497.55,1.29355
66987.3,51349.9,40.8,715.17,1.29457
64726.3,66397.4,1676.2,980.22,1.29457
41396,35606.9,29.75,385.95,1.29662
52866.8,76285.1,59.5,967.2,1.29662
69952.1,63592.5,119.85,966.27,1.29764
79101.1,60220.3,147.9,728.19,1.31093
57354.8,63632.5,-16.15,658.44,1.314
60479.2,46984.5,38.25,607.29,1.314
63185.8,53242.5,26178.3,4053.87,1.31502
55021.1,49909.4,199.75,850.95,1.31707
90355.5,50269.3,64.6,903.03,1.31809
65404.9,41706.8,0,509.64,1.32627
77275.4,57109.4,284.75,625.89,1.32832
68336.6,49035.2,62.05,457.56,1.32934
38964.4,39325.1,42.5,384.09,1.33036
51563.3,45942.9,12.75,640.77,1.33138
54237.5,43091.6,53.55,692.85,1.33752
54528.2,40402.9,-0.85,695.64,1.34059
66754.2,64197.9,11.9,734.7,1.34366
82491.8,72016.4,183.6,969.99,1.34468
69029.4,76670.1,810.05,923.49,1.34672
86774.4,58174.3,39.1,703.08,1.34672
61029.1,74535.8,19.55,976.5,1.34775
41685.1,46709.2,98.6,545.91,1.34877
71540.8,52930,32.3,693.78,1.34877
29478.1,51822.4,41.65,581.25,1.34979
49934.3,52384.1,81.6,600.78,1.34979
65321.9,56449.1,19.55,666.81,1.35184
70791.9,67935.6,51.85,1000.68,1.35286
55999.2,59887.4,40.8,538.47,1.3549
33993.7,58225.4,35465.4,779.34,1.38149
49361.6,37835.2,23.8,430.59,1.38456
71661.7,45228.7,25.5,740.28,1.39887
64232.5,39287.9,55.25,486.39,1.40399
60917.7,53514.1,17.85,728.19,1.40501
102874,81043,13468.2,1101.12,1.40603
102433,63619.4,14.45,932.79,1.40808
87687.6,55609.4,12.75,741.21,1.41114
62638.3,43337.1,90.95,622.17,1.41319
45594.1,46133.6,24.65,657.51,1.41524
65611.1,88335.1,327.25,1107.63,1.41626
54732.8,41438,19.55,488.25,1.41626
49228.9,50167,17,462.21,1.4183
85998.6,81539.6,12.75,1110.42,1.42342
