LOC100652771	LOC100652771
WASH7P	WASH7P
MIR1302-2	MIR1302-2
FAM138A	FAM138A
OR4F5	OR4F5
LOC729737	LOC729737
LOC100132287	LOC100132287
LOC100288646	LOC100288646
OR4F29	OR4F29
LOC100652939	LOC100652939
OR4F16	OR4F16
LOC100287654	LOC100287654
LOC100133331	LOC100133331
LOC100288069	LOC100288069
LOC100287934	LOC100287934
FAM87B	FAM87B
LINC00115	LINC00115
LOC643837	LOC643837
LOC100506327	LOC100506327
FAM41C	FAM41C
LOC284600	LOC284600
LOC100130417	LOC100130417
SAMD11	SAMD11
NOC2L	NOC2L
KLHL17	KLHL17
PLEKHN1	PLEKHN1
C1orf170	C1orf170
HES4	HES4
ISG15	ISG15
AGRN	AGRN
RNF223	RNF223
C1orf159	C1orf159
LOC254099	LOC254099
MIR200B	MIR200B
MIR200A	MIR200A
MIR429	MIR429
LOC100506376	LOC100506376
TTLL10	TTLL10
TNFRSF18	TNFRSF18
TNFRSF4	TNFRSF4
SDF4	SDF4
B3GALT6	B3GALT6
FAM132A	FAM132A
UBE2J2	UBE2J2
SCNN1D	SCNN1D
ACAP3	ACAP3
PUSL1	PUSL1
CPSF3L	CPSF3L
GLTPD1	GLTPD1
TAS1R3	TAS1R3
DVL1	DVL1
MXRA8	MXRA8
AURKAIP1	AURKAIP1
CCNL2	CCNL2
LOC148413	LOC148413
MRPL20	MRPL20
LOC441869	LOC441869
TMEM88B	TMEM88B
VWA1	VWA1
ATAD3C	ATAD3C
ATAD3B	ATAD3B
ATAD3A	ATAD3A
C1orf70	C1orf70
SSU72	SSU72
LOC643988	LOC643988
MIB2	MIB2
MMP23B	MMP23B
CDK11B	CDK11B
SLC35E2B	SLC35E2B
MMP23A	MMP23A
CDK11A	CDK11A
SLC35E2	SLC35E2
NADK	NADK
GNB1	GNB1
CALML6	CALML6
TMEM52	TMEM52
C1orf222	C1orf222
KIAA1751	KIAA1751
GABRD	GABRD
PRKCZ	PRKCZ
LOC100506504	LOC100506504
C1orf86	C1orf86
SKI	SKI
MORN1	MORN1
LOC100129534	LOC100129534
RER1	RER1
PEX10	PEX10
PLCH2	PLCH2
PANK4	PANK4
HES5	HES5
LOC115110	LOC115110
LOC100133445	LOC100133445
TNFRSF14	TNFRSF14
C1orf93	C1orf93
MMEL1	MMEL1
TTC34	TTC34
ACTRT2	ACTRT2
FLJ42875	FLJ42875
PRDM16	PRDM16
MIR4251	MIR4251
ARHGEF16	ARHGEF16
MEGF6	MEGF6
MIR551A	MIR551A
TPRG1L	TPRG1L
WRAP73	WRAP73
TP73	TP73
TP73-AS1	TP73-AS1
CCDC27	CCDC27
LOC388588	LOC388588
LRRC47	LRRC47
CEP104	CEP104
DFFB	DFFB
C1orf174	C1orf174
LOC100133612	LOC100133612
LOC728716	LOC728716
LOC284661	LOC284661
AJAP1	AJAP1
MIR4417	MIR4417
MIR4689	MIR4689
NPHP4	NPHP4
KCNAB2	KCNAB2
CHD5	CHD5
RPL22	RPL22
RNF207	RNF207
ICMT	ICMT
LINC00337	LINC00337
HES3	HES3
GPR153	GPR153
ACOT7	ACOT7
LOC100130071	LOC100130071
HES2	HES2
ESPN	ESPN
MIR4252	MIR4252
TNFRSF25	TNFRSF25
PLEKHG5	PLEKHG5
NOL9	NOL9
TAS1R1	TAS1R1
ZBTB48	ZBTB48
KLHL21	KLHL21
PHF13	PHF13
THAP3	THAP3
DNAJC11	DNAJC11
LOC100505887	LOC100505887
CAMTA1	CAMTA1
LOC100129476	LOC100129476
VAMP3	VAMP3
PER3	PER3
UTS2	UTS2
TNFRSF9	TNFRSF9
PARK7	PARK7
ERRFI1	ERRFI1
SLC45A1	SLC45A1
RERE	RERE
ENO1	ENO1
ENO1-AS1	ENO1-AS1
CA6	CA6
SLC2A7	SLC2A7
SLC2A5	SLC2A5
GPR157	GPR157
MIR34A	MIR34A
LOC727721	LOC727721
H6PD	H6PD
SPSB1	SPSB1
LOC100506022	LOC100506022
SLC25A33	SLC25A33
TMEM201	TMEM201
PIK3CD	PIK3CD
C1orf200	C1orf200
CLSTN1	CLSTN1
FLJ16126	FLJ16126
CTNNBIP1	CTNNBIP1
LZIC	LZIC
NMNAT1	NMNAT1
RBP7	RBP7
UBE4B	UBE4B
KIF1B	KIF1B
MIR1273D	MIR1273D
LOC100287506	LOC100287506
PGD	PGD
APITD1	APITD1
APITD1-CORT	APITD1-CORT
CORT	CORT
DFFA	DFFA
PEX14	PEX14
CASZ1	CASZ1
C1orf127	C1orf127
TARDBP	TARDBP
MASP2	MASP2
SRM	SRM
EXOSC10	EXOSC10
LOC100652764	LOC100652764
MTOR	MTOR
ANGPTL7	ANGPTL7
UBIAD1	UBIAD1
PTCHD2	PTCHD2
FBXO2	FBXO2
FBXO44	FBXO44
FBXO6	FBXO6
MAD2L2	MAD2L2
C1orf187	C1orf187
AGTRAP	AGTRAP
LOC100506273	LOC100506273
C1orf167	C1orf167
LOC100506310	LOC100506310
MTHFR	MTHFR
CLCN6	CLCN6
NPPA-AS1	NPPA-AS1
NPPA	NPPA
NPPB	NPPB
RNU5E-1	RNU5E-1
KIAA2013	KIAA2013
PLOD1	PLOD1
MFN2	MFN2
MIIP	MIIP
TNFRSF8	TNFRSF8
TNFRSF1B	TNFRSF1B
MIR4632	MIR4632
VPS13D	VPS13D
SNORA59A	SNORA59A
DHRS3	DHRS3
AADACL4	AADACL4
AADACL3	AADACL3
C1orf158	C1orf158
PRAMEF12	PRAMEF12
PRAMEF1	PRAMEF1
PRAMEF11	PRAMEF11
HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4
PRAMEF10	PRAMEF10
PRAMEF7	PRAMEF7
PRAMEF6	PRAMEF6
PRAMEF22	PRAMEF22
PRAMEF23	PRAMEF23
PRAMEF25	PRAMEF25
LOC440563	LOC440563
LOC645359	LOC645359
PRAMEF3	PRAMEF3
PRAMEF5	PRAMEF5
PRAMEF8	PRAMEF8
PRAMEF9	PRAMEF9
PRAMEF13	PRAMEF13
PRAMEF18	PRAMEF18
PRAMEF16	PRAMEF16
PRAMEF21	PRAMEF21
PRAMEF24	PRAMEF24
PRAMEF15	PRAMEF15
PRAMEF14	PRAMEF14
PRAMEF19	PRAMEF19
PRAMEF17	PRAMEF17
PRAMEF20	PRAMEF20
LRRC38	LRRC38
PDPN	PDPN
PRDM2	PRDM2
KAZN	KAZN
C1orf126	C1orf126
TMEM51	TMEM51
FHAD1	FHAD1
EFHD2	EFHD2
CTRC	CTRC
CELA2A	CELA2A
CELA2B	CELA2B
CASP9	CASP9
DNAJC16	DNAJC16
AGMAT	AGMAT
DDI2	DDI2
